,Anthony Faber,Gerardo Sandoval,Phil Ting,Ronald Chun
first_choice,0.01,36.06,47.21,16.71
Anthony Faber,,0.01,0.00,0.03
Gerardo Sandoval,28.57,,44.78,31.64
Phil Ting,14.29,70.71,,68.32
Ronald Chun,57.14,29.28,55.22,
