,ED DONALDSON,MALIA COHEN,MARLENE TRAN,SHAWN M. RICHARD,TONY KELLY
first_choice,5.25,46.58,17.69,6.46,24.02
ED DONALDSON,,12.29,6.61,29.35,29.65
MALIA COHEN,27.20,,54.71,38.25,41.69
MARLENE TRAN,10.47,33.41,,13.60,16.81
SHAWN M. RICHARD,27.03,19.86,9.43,,11.86
TONY KELLY,35.30,34.44,29.25,18.81,
