,BARBARA PARKER,JANE BRUNNER,writeIns
first_choice,90055.00,40488.00,1066.00
BARBARA PARKER,,22601.00,167.00
JANE BRUNNER,37933.00,,89.00
writeIns,1764.00,647.00,
exhaust,50358.00,17240.00,810.00
