,BILL FAZIO,DAVID ONEK,GEORGE GASCÓN,SHARMIN BOCK,VU VUONG TRINH
first_choice,10.49,23.65,41.55,20.71,3.59
BILL FAZIO,,8.98,32.19,20.78,14.22
DAVID ONEK,19.44,,17.99,29.72,23.95
GEORGE GASCÓN,42.40,14.05,,38.57,27.05
SHARMIN BOCK,29.91,73.38,44.20,,34.79
VU VUONG TRINH,8.25,3.59,5.62,10.93,
