,DEAN CLARK,DEBRA WALKER,ELAINE ZAMORA,FORTUNATE ''NATE'' PAYNE,GEORGE DAVIS,GEORGE VAZHAPPALLY,GLENDON ''ANNA CONDA'' HYDE,H. BROWN,JAMES KEYS,JANE KIM,JIM MEKO,MATT ASHE,MATT DRAKE,THERESA SPARKS,writeIns
first_choice,2.85,26.89,3.02,0.71,0.75,1.15,3.28,0.86,4.55,31.40,1.93,0.88,4.49,17.10,0.14
DEAN CLARK,,2.75,4.08,6.67,6.96,6.20,2.75,15.38,3.12,3.07,1.72,3.24,7.92,1.97,0.00
DEBRA WALKER,20.43,,12.87,12.67,16.46,4.55,27.46,8.79,21.77,22.23,16.71,12.97,5.91,16.03,3.45
ELAINE ZAMORA,2.99,3.19,,2.00,5.70,6.20,2.89,7.14,2.50,5.75,3.19,4.32,7.29,4.24,0.00
FORTUNATE ''NATE'' PAYNE,2.33,0.56,1.10,,2.53,23.55,3.90,1.65,0.94,0.60,3.19,1.08,4.75,1.03,0.00
GEORGE DAVIS,1.16,0.81,2.67,1.33,,2.07,2.60,2.75,1.25,0.77,2.70,7.03,2.01,0.89,0.00
GEORGE VAZHAPPALLY,4.65,0.41,1.41,12.67,5.06,,0.72,3.30,0.94,0.85,4.18,1.62,4.54,0.94,0.00
GLENDON ''ANNA CONDA'' HYDE,2.16,5.04,3.61,10.67,8.23,1.65,,3.30,4.48,6.92,3.93,8.11,1.80,4.60,3.45
H. BROWN,6.48,1.15,1.88,2.67,6.96,2.48,2.46,,1.04,2.19,0.74,2.16,0.53,1.30,0.00
JAMES KEYS,7.97,5.40,5.65,4.00,5.06,1.65,6.36,6.59,,4.49,9.34,2.16,1.37,3.66,0.00
JANE KIM,14.29,36.81,16.80,8.00,6.96,8.26,18.21,12.09,25.21,,16.95,14.59,16.26,21.36,6.90
JIM MEKO,1.50,2.89,2.98,8.67,2.53,9.50,3.18,5.49,4.06,2.36,,5.41,9.61,3.99,0.00
MATT ASHE,1.16,0.74,1.26,1.33,1.90,1.24,1.59,2.75,0.31,0.79,2.46,,2.11,0.94,3.45
MATT DRAKE,5.65,0.90,7.54,5.33,4.43,10.33,1.73,3.85,1.35,3.78,6.14,12.43,,8.68,0.00
THERESA SPARKS,6.98,13.25,12.40,4.00,5.70,5.37,10.69,6.04,10.83,15.27,9.34,9.19,14.68,,0.00
writeIns,0.17,0.25,0.16,0.67,0.00,0.00,0.29,0.55,0.10,0.12,0.25,0.54,0.11,0.11,
exhaust,22.09,25.84,25.59,19.33,21.52,16.94,15.17,20.33,22.08,30.83,19.16,15.14,21.12,30.24,82.76
