,Bernie Kunza,John Malone,Liz Wielinski,writeIns
first_choice,909.00,565.00,4335.00,33.00
Bernie Kunza,,159.00,787.00,1.00
John Malone,204.00,,448.00,1.00
Liz Wielinski,246.00,115.00,,4.00
writeIns,5.00,2.00,18.00,
exhaust,454.00,289.00,3082.00,27.00
