,"Fantini, Alfred B.","Grassi, Joseph G.","Harding, Richard, Jr.","Lummis, Ben","McGovern, Marc C.","Nolan, Patricia M.","Schuster, Luc","Walser, Nancy",writeIns
first_choice,2281.00,1990.00,1981.00,1514.00,1413.00,2387.00,1843.00,2004.00,57.00
"Fantini, Alfred B.",,973.00,214.00,92.00,112.00,114.00,76.00,211.00,1.00
"Grassi, Joseph G.",1127.00,,358.00,60.00,58.00,82.00,56.00,104.00,0.00
"Harding, Richard, Jr.",167.00,253.00,,147.00,159.00,120.00,180.00,133.00,4.00
"Lummis, Ben",100.00,63.00,210.00,,220.00,249.00,270.00,384.00,0.00
"McGovern, Marc C.",158.00,85.00,183.00,246.00,,375.00,239.00,273.00,2.00
"Nolan, Patricia M.",128.00,75.00,132.00,205.00,263.00,,460.00,423.00,7.00
"Schuster, Luc",57.00,41.00,175.00,173.00,152.00,766.00,,187.00,0.00
"Walser, Nancy",122.00,88.00,196.00,419.00,284.00,433.00,322.00,,5.00
writeIns,5.00,6.00,9.00,3.00,0.00,3.00,4.00,2.00,
exhaust,417.00,406.00,504.00,169.00,165.00,245.00,236.00,287.00,38.00
