,Andrew Sullivan,Bill Barnes,Brett Wheeler,Dan Kalb,Emmett Gilman,Francis Somesel,H. Brown,Jim Siegel,Joseph Blue,Julian Davis,Lisa Feldstein,Michael E. O'connor,Nick Waugh,Patrick M. Ciocca,Phillip House,Phoenix Streets,Rob Anderson,Robert Haaland,Ross Mirkarimi,Susan C. King,Tys Sniffen,Vivian Wilder
first_choice,2477.00,1664.00,832.00,1398.00,393.00,368.00,57.00,1540.00,802.00,418.00,3257.00,868.00,3025.00,91.00,62.00,657.00,336.00,5124.00,9947.00,977.00,686.00,130.00
Andrew Sullivan,,59.00,45.00,75.00,13.00,49.00,1.00,360.00,36.00,8.00,166.00,43.00,362.00,12.00,1.00,17.00,7.00,160.00,267.00,23.00,51.00,3.00
Bill Barnes,83.00,,64.00,95.00,7.00,18.00,6.00,28.00,56.00,9.00,213.00,22.00,126.00,3.00,1.00,40.00,9.00,406.00,407.00,25.00,15.00,4.00
Brett Wheeler,66.00,68.00,,81.00,14.00,9.00,1.00,35.00,18.00,23.00,67.00,11.00,103.00,4.00,1.00,33.00,23.00,80.00,196.00,39.00,20.00,5.00
Dan Kalb,116.00,120.00,64.00,,14.00,18.00,2.00,48.00,21.00,20.00,202.00,31.00,174.00,2.00,0.00,28.00,15.00,920.00,493.00,89.00,43.00,9.00
Emmett Gilman,15.00,24.00,13.00,10.00,,15.00,1.00,24.00,16.00,11.00,80.00,17.00,23.00,2.00,4.00,16.00,2.00,48.00,134.00,12.00,12.00,4.00
Francis Somesel,85.00,29.00,10.00,34.00,9.00,,0.00,112.00,16.00,9.00,22.00,20.00,25.00,2.00,2.00,9.00,1.00,12.00,46.00,12.00,9.00,6.00
H. Brown,3.00,9.00,2.00,2.00,4.00,2.00,,4.00,8.00,6.00,6.00,1.00,8.00,1.00,4.00,3.00,8.00,7.00,16.00,3.00,4.00,1.00
Jim Siegel,277.00,39.00,32.00,38.00,27.00,42.00,2.00,,47.00,13.00,88.00,93.00,89.00,5.00,1.00,11.00,13.00,83.00,186.00,34.00,72.00,3.00
Joseph Blue,50.00,57.00,10.00,14.00,7.00,23.00,3.00,85.00,,6.00,69.00,17.00,67.00,5.00,2.00,26.00,4.00,67.00,106.00,12.00,10.00,2.00
Julian Davis,16.00,22.00,28.00,17.00,11.00,4.00,4.00,20.00,9.00,,52.00,35.00,36.00,3.00,5.00,16.00,17.00,55.00,120.00,43.00,11.00,10.00
Lisa Feldstein,198.00,205.00,74.00,165.00,58.00,14.00,8.00,71.00,94.00,45.00,,55.00,264.00,4.00,9.00,60.00,16.00,769.00,1527.00,151.00,50.00,11.00
Michael E. O'connor,62.00,32.00,30.00,19.00,11.00,23.00,2.00,99.00,33.00,19.00,41.00,,63.00,4.00,3.00,17.00,23.00,83.00,255.00,40.00,28.00,5.00
Nick Waugh,712.00,111.00,77.00,128.00,19.00,17.00,0.00,94.00,46.00,26.00,249.00,37.00,,3.00,2.00,48.00,14.00,364.00,683.00,57.00,58.00,4.00
Patrick M. Ciocca,5.00,7.00,4.00,5.00,5.00,4.00,0.00,6.00,8.00,4.00,6.00,2.00,14.00,,0.00,9.00,2.00,15.00,21.00,6.00,1.00,3.00
Phillip House,2.00,0.00,1.00,6.00,0.00,2.00,0.00,0.00,3.00,2.00,6.00,15.00,2.00,0.00,,4.00,4.00,8.00,21.00,3.00,0.00,0.00
Phoenix Streets,35.00,69.00,28.00,39.00,17.00,12.00,1.00,23.00,30.00,17.00,90.00,17.00,90.00,6.00,2.00,,23.00,96.00,192.00,41.00,16.00,7.00
Rob Anderson,11.00,10.00,20.00,13.00,0.00,1.00,5.00,13.00,9.00,8.00,16.00,13.00,41.00,2.00,0.00,22.00,,46.00,49.00,25.00,5.00,2.00
Robert Haaland,132.00,227.00,64.00,172.00,31.00,12.00,2.00,53.00,63.00,24.00,527.00,62.00,347.00,3.00,4.00,54.00,33.00,,3834.00,75.00,59.00,13.00
Ross Mirkarimi,196.00,272.00,141.00,229.00,56.00,37.00,3.00,153.00,76.00,57.00,664.00,103.00,535.00,9.00,2.00,108.00,26.00,1074.00,,137.00,94.00,7.00
Susan C. King,37.00,68.00,33.00,85.00,18.00,13.00,3.00,32.00,21.00,34.00,221.00,52.00,121.00,4.00,4.00,40.00,26.00,169.00,347.00,,27.00,17.00
Tys Sniffen,124.00,20.00,7.00,22.00,10.00,12.00,1.00,133.00,8.00,11.00,56.00,85.00,57.00,2.00,1.00,21.00,15.00,48.00,159.00,16.00,,2.00
Vivian Wilder,9.00,16.00,9.00,25.00,6.00,4.00,4.00,6.00,9.00,7.00,26.00,12.00,29.00,3.00,1.00,10.00,9.00,23.00,19.00,18.00,5.00,
exhaust,243.00,200.00,76.00,124.00,56.00,37.00,8.00,141.00,175.00,59.00,390.00,125.00,449.00,12.00,13.00,65.00,46.00,591.00,869.00,116.00,96.00,12.00
