,JOHN ROBINSON,ROSS MIRKARIMI,VICKI HENNESSY
first_choice,11036.00,61446.00,113349.00
JOHN ROBINSON,,7526.00,34763.00
ROSS MIRKARIMI,1959.00,,18650.00
VICKI HENNESSY,5168.00,22758.00,
exhaust,3909.00,31162.00,59936.00
