,BRYAN PARKER,CHARLES R. WILLIAMS,COURTNEY RUBY,DAN SIEGEL,ERIC WILSON,JASON ANDERSON,JEAN QUAN,JOE TUMAN,KEN HOUSTON,LIBBY SCHAAF,NANCY SIDEBOTHAM,PAT MCCULLOUGH,PETER LIU,REBECCA KAPLAN,SAIED KARAMOOZ,SAMMUEL WASHINGTON
first_choice,7.81,1.03,3.06,12.88,0.39,1.52,15.52,12.02,0.51,29.48,0.26,0.36,0.46,14.42,0.26,0.03
BRYAN PARKER,,4.66,7.29,6.11,3.05,1.94,6.67,12.21,9.85,8.81,6.74,9.67,7.54,6.83,3.03,9.09
CHARLES R. WILLIAMS,2.39,,1.41,1.26,10.43,1.87,1.58,0.60,3.28,0.32,3.75,8.01,3.88,1.88,1.14,3.03
COURTNEY RUBY,4.02,3.90,,3.12,3.56,1.68,3.16,10.29,2.51,7.59,11.61,5.52,8.62,4.55,6.06,0.00
DAN SIEGEL,10.70,17.02,7.64,,15.52,18.58,11.90,8.35,7.34,10.70,5.99,7.18,9.05,17.18,23.48,9.09
ERIC WILSON,1.11,5.23,0.83,1.68,,1.61,0.90,0.41,4.63,0.25,5.24,3.31,3.23,1.14,2.27,0.00
JASON ANDERSON,0.88,6.84,1.00,4.22,3.56,,0.71,0.55,2.90,0.42,1.12,6.35,0.65,1.56,9.47,3.03
JEAN QUAN,7.88,8.17,5.17,13.08,7.12,2.90,,4.16,6.56,12.25,7.12,5.52,14.22,11.77,6.06,9.09
JOE TUMAN,15.96,3.90,23.56,8.73,5.60,2.13,6.28,,7.14,27.60,5.24,6.91,7.54,8.01,6.06,0.00
KEN HOUSTON,1.38,2.00,0.42,0.59,3.31,1.16,0.60,0.64,,0.31,4.87,3.59,2.80,0.86,1.89,0.00
LIBBY SCHAAF,20.91,3.42,29.21,19.72,3.56,4.65,19.33,38.91,6.18,,8.24,6.08,6.68,26.62,10.23,0.00
NANCY SIDEBOTHAM,0.35,1.05,1.67,0.45,3.31,0.26,0.46,0.46,2.12,0.26,,4.70,1.72,0.86,1.52,0.00
PAT MCCULLOUGH,1.01,3.23,1.06,0.69,2.29,1.68,0.62,0.64,2.12,0.27,3.75,,4.31,0.65,3.79,3.03
PETER LIU,0.63,1.90,0.96,0.50,4.58,0.52,2.96,0.91,0.97,0.38,3.00,4.14,,0.77,5.30,3.03
REBECCA KAPLAN,14.85,13.21,9.15,26.13,16.03,8.84,19.74,9.59,21.62,20.05,14.98,11.60,6.03,,7.95,12.12
SAIED KARAMOOZ,0.38,1.52,0.87,1.56,1.27,47.48,0.32,0.42,1.35,0.32,1.50,1.93,4.53,0.39,,3.03
SAMMUEL WASHINGTON,0.03,0.00,0.00,0.03,0.00,0.00,0.02,0.02,0.00,0.02,0.00,0.28,0.22,0.02,0.00,
exhaust,17.54,23.95,9.76,12.12,16.79,4.71,24.76,11.84,21.43,10.45,16.85,15.19,18.97,16.93,11.74,45.45
