,Brad Bourn,Geneva Hanvik,Meg Forney,Steven Jecha,writeIns
first_choice,4023.00,277.00,3040.00,978.00,36.00
Brad Bourn,,44.00,627.00,193.00,2.00
Geneva Hanvik,111.00,,336.00,64.00,0.00
Meg Forney,1369.00,81.00,,349.00,0.00
Steven Jecha,525.00,36.00,369.00,,1.00
writeIns,10.00,1.00,9.00,4.00,
exhaust,2008.00,115.00,1699.00,368.00,33.00
