,ALLEN SCHOENFELD,LEE THOMAS,VICTOR AGUILAR
first_choice,13.58,54.04,32.37
ALLEN SCHOENFELD,,15.07,21.74
LEE THOMAS,23.86,,48.68
VICTOR AGUILAR,47.04,54.65,
exhaust,29.10,30.28,29.58
