,BEN GOULD,BERNT RAINER WAHL,GUY ''MIKE'' LEE,JESSE ARREGUÍN,KRISS WORTHINGTON,LAURIE CAPITELLI,NAOMI D. PETE,ZACHARY RUNNINGWOLF
first_choice,2.95,2.83,1.61,49.10,8.02,32.12,0.63,2.74
BEN GOULD,,24.21,14.01,6.21,4.09,13.95,9.63,9.68
BERNT RAINER WAHL,14.45,,7.77,2.72,8.56,5.94,7.78,13.67
GUY ''MIKE'' LEE,6.68,5.56,,3.59,2.51,2.75,12.59,20.05
JESSE ARREGUÍN,28.19,14.71,23.18,,56.61,54.43,15.19,23.96
KRISS WORTHINGTON,12.18,26.04,11.34,48.46,,17.15,17.04,14.52
LAURIE CAPITELLI,26.77,14.29,14.14,31.99,20.24,,23.33,12.75
NAOMI D. PETE,2.46,4.93,5.73,0.88,2.00,1.41,,5.38
ZACHARY RUNNINGWOLF,9.27,10.27,23.82,6.17,5.99,4.36,14.44,
