,BLONG YANG,BRETT BUCKNER,IAN ALEXANDER,KALE R. SEVERSON,writeIns
first_choice,42.15,21.32,29.95,6.29,0.29
BLONG YANG,,38.89,55.86,43.83,33.33
BRETT BUCKNER,38.33,,35.67,30.25,33.33
IAN ALEXANDER,46.57,47.05,,24.07,0.00
KALE R. SEVERSON,14.63,13.37,8.10,,33.33
writeIns,0.46,0.69,0.36,1.85,
