,LYNETTE GIBSON MCELHANEY,NONI D. SESSION
first_choice,13147.00,10108.00
LYNETTE GIBSON MCELHANEY,,4210.00
NONI D. SESSION,7447.00,
exhaust,5700.00,5898.00
