,Kevin Reich,Larry Ranallo,Mark Fox,Susan Howitz Hanna,Thomas Alessi,writeIns
first_choice,1997.00,941.00,153.00,535.00,340.00,3.00
Kevin Reich,,242.00,50.00,277.00,19.00,1.00
Larry Ranallo,285.00,,29.00,73.00,121.00,1.00
Mark Fox,124.00,54.00,,30.00,47.00,0.00
Susan Howitz Hanna,774.00,150.00,19.00,,23.00,0.00
Thomas Alessi,42.00,92.00,19.00,13.00,,0.00
writeIns,8.00,2.00,0.00,2.00,3.00,
exhaust,764.00,401.00,36.00,140.00,127.00,1.00
