,JODY LONDON,THEARSE PECOT,writeIns
first_choice,75.40,23.90,0.70
JODY LONDON,,44.80,10.87
THEARSE PECOT,43.08,,10.87
writeIns,1.12,2.23,
exhaust,55.80,52.97,78.26
