,CATHERINE STEFANI,JOHN DENNIS,NICK JOSEFOWITZ,SCHUYLER HUDAK
first_choice,40.82,8.80,38.64,11.74
CATHERINE STEFANI,,19.11,42.03,42.10
JOHN DENNIS,8.00,,8.80,14.40
NICK JOSEFOWITZ,31.52,22.46,,29.26
SCHUYLER HUDAK,28.90,25.51,24.00,
exhaust,31.58,32.92,25.17,14.23
