,Billy Menz,Chris Meyer,Mohamed Issa Barre,writeIns
first_choice,5070.00,6358.00,2793.00,82.00
Billy Menz,,2923.00,755.00,4.00
Chris Meyer,2142.00,,848.00,3.00
Mohamed Issa Barre,985.00,1211.00,,2.00
writeIns,17.00,25.00,16.00,
exhaust,1926.00,2199.00,1174.00,73.00
