,Dave Bicking,Gary Schiff,Khalif Jama,Todd J. Eberhardy,writeIns
first_choice,816.00,1818.00,83.00,270.00,8.00
Dave Bicking,,724.00,25.00,74.00,5.00
Gary Schiff,401.00,,26.00,40.00,1.00
Khalif Jama,123.00,256.00,,14.00,0.00
Todd J. Eberhardy,119.00,78.00,5.00,,0.00
writeIns,11.00,6.00,0.00,5.00,
exhaust,162.00,754.00,27.00,137.00,2.00
