,"Fantini, Alfred B.","Forster, Bill","Gerber, Joyce C.","Harding, Jr., Richard","Holland, John J.","McGovern, Marc C.","Nolan, Patricia M.","Osborne, Mervan F.","Stead, Sr., Charles Lewis","Tauber, Nancy","Turkel, Alice L.",writeIns
first_choice,15.95,2.24,3.20,11.45,3.05,11.45,14.35,13.32,1.78,10.00,12.91,0.29
"Fantini, Alfred B.",,10.86,7.31,14.75,25.88,10.74,5.37,4.00,14.09,9.77,7.99,25.00
"Forster, Bill",6.85,,10.87,1.79,6.61,2.14,3.16,3.38,7.22,1.71,1.23,12.50
"Gerber, Joyce C.",4.72,29.80,,2.91,7.78,2.95,5.96,3.82,4.81,3.88,3.29,6.25
"Harding, Jr., Richard",20.98,5.81,11.59,,6.61,12.53,9.79,12.48,25.77,4.91,6.71,12.50
"Holland, John J.",9.79,5.05,7.31,3.69,,2.44,3.08,3.16,2.75,2.68,1.74,6.25
"McGovern, Marc C.",19.02,9.34,11.41,19.89,12.06,,17.96,12.26,6.53,14.11,14.29,0.00
"Nolan, Patricia M.",8.81,9.09,16.93,10.00,11.09,22.00,,21.66,4.47,16.56,20.68,12.50
"Osborne, Mervan F.",3.83,9.09,11.05,15.20,8.75,9.57,16.07,,14.09,13.31,11.78,12.50
"Stead, Sr., Charles Lewis",4.64,7.32,3.21,11.79,3.50,1.93,1.54,4.35,,0.86,1.32,6.25
"Tauber, Nancy",10.81,7.07,11.76,8.88,11.48,16.90,19.38,17.97,12.03,,30.87,0.00
"Turkel, Alice L.",10.38,6.31,8.56,11.01,6.23,18.74,17.57,16.83,7.90,32.21,,6.25
writeIns,0.17,0.25,0.00,0.11,0.00,0.05,0.12,0.09,0.34,0.00,0.09,
