,Calvin Goings,Mike Lonergan,Pat McCarthy,Shawn Bunney,writeIns
first_choice,69052.00,45330.00,79235.00,105057.00,458.00
Calvin Goings,,8339.00,44821.00,13641.00,22.00
Mike Lonergan,8526.00,,10499.00,30829.00,48.00
Pat McCarthy,35182.00,12928.00,,12806.00,20.00
Shawn Bunney,8489.00,13578.00,6642.00,,44.00
writeIns,98.00,95.00,84.00,737.00,
exhaust,16757.00,10390.00,17189.00,47044.00,324.00
