,Carol Kummer,Dan W. Peterson,Jason Stone,McClain Looney,Steve Barland,writeIns
first_choice,2964.00,369.00,2788.00,151.00,1541.00,35.00
Carol Kummer,,80.00,769.00,29.00,495.00,1.00
Dan W. Peterson,204.00,,78.00,22.00,81.00,0.00
Jason Stone,494.00,60.00,,24.00,323.00,2.00
McClain Looney,119.00,18.00,56.00,,34.00,0.00
Steve Barland,764.00,49.00,645.00,15.00,,0.00
writeIns,6.00,1.00,8.00,3.00,3.00,
exhaust,1377.00,161.00,1232.00,58.00,605.00,32.00
