,BENJAMIN VISNICK,GARY D. YEE,writeIns
first_choice,30.52,68.66,0.82
BENJAMIN VISNICK,,52.73,17.95
GARY D. YEE,59.59,,14.10
writeIns,2.36,1.64,
exhaust,38.05,45.63,67.95
