,BLONG YANG,BRETT BUCKNER,IAN ALEXANDER,KALE R. SEVERSON,writeIns
first_choice,42.15,21.32,29.95,6.29,0.29
BLONG YANG,,30.03,44.08,32.27,10.00
BRETT BUCKNER,22.37,,28.15,22.27,10.00
IAN ALEXANDER,27.19,36.33,,17.73,0.00
KALE R. SEVERSON,8.54,10.32,6.39,,10.00
writeIns,0.27,0.54,0.29,1.36,
exhaust,41.63,22.79,21.09,26.36,70.00
