,BOB REUER,DAVID REGAN,LINEA PALMISANO,MATT PERRY,MISSY DURANT,writeIns
first_choice,749.00,199.00,4452.00,4063.00,986.00,10.00
BOB REUER,,120.00,79.00,242.00,33.00,1.00
DAVID REGAN,232.00,,32.00,96.00,12.00,1.00
LINEA PALMISANO,64.00,18.00,,2111.00,466.00,3.00
MATT PERRY,146.00,22.00,2371.00,,374.00,0.00
MISSY DURANT,26.00,7.00,1236.00,905.00,,1.00
writeIns,6.00,1.00,9.00,13.00,0.00,
exhaust,275.00,31.00,725.00,696.00,101.00,4.00
