,AK Hassan,Abdi Gurhan Mohamed,Charles Exner,writeIns
first_choice,48.49,37.01,14.14,0.36
AK Hassan,,75.70,58.45,33.33
Abdi Gurhan Mohamed,73.88,,37.53,22.22
Charles Exner,25.44,23.33,,44.44
writeIns,0.68,0.97,4.02,
