,Barbara Gelman,Bernardo Tuma,Beverly Davidson,Dale Washam,Jan Shabro,Terry Lee,writeIns
first_choice,49874.00,18205.00,27340.00,65676.00,50023.00,50278.00,1051.00
Barbara Gelman,,2232.00,7202.00,6533.00,9758.00,9150.00,23.00
Bernardo Tuma,2043.00,,2148.00,4803.00,4062.00,4838.00,16.00
Beverly Davidson,10509.00,1880.00,,3726.00,3857.00,3448.00,24.00
Dale Washam,5200.00,2628.00,2869.00,,7429.00,8182.00,30.00
Jan Shabro,8615.00,3542.00,3830.00,11838.00,,9717.00,13.00
Terry Lee,6814.00,3382.00,3723.00,16540.00,8055.00,,31.00
writeIns,71.00,40.00,48.00,164.00,99.00,75.00,
exhaust,16622.00,4501.00,7520.00,22072.00,16763.00,14868.00,914.00
