,ANDREW BLEY,F. X. FRANCIS XAVIER CROWLEY,GLENN ROGERS,JOEL ENGARDIO,JULIAN P. LAGOS,LYNN GAVIN,MICHAEL GARCIA,NORMAN YEE,ROBERT J. SQUERI
first_choice,2.63,24.68,1.90,13.28,3.48,2.29,17.56,29.26,4.92
ANDREW BLEY,,2.04,16.75,4.29,7.06,10.29,2.63,3.34,4.60
F. X. FRANCIS XAVIER CROWLEY,14.79,,10.22,20.27,8.71,8.21,24.91,30.46,23.11
GLENN ROGERS,12.00,1.94,,2.86,10.08,16.83,2.12,2.28,5.31
JOEL ENGARDIO,11.52,8.73,6.70,,9.44,8.21,17.53,7.97,12.56
JULIAN P. LAGOS,7.88,3.46,13.57,3.31,,15.58,4.19,8.97,4.66
LYNN GAVIN,10.42,2.59,14.07,2.59,12.56,,2.00,4.44,2.98
MICHAEL GARCIA,11.15,21.95,7.37,22.72,10.36,10.43,,11.64,18.90
NORMAN YEE,15.03,32.79,11.56,19.22,26.31,14.19,12.95,,11.13
ROBERT J. SQUERI,5.94,8.75,7.87,6.86,4.95,3.34,14.50,5.69,
exhaust,11.27,17.75,11.89,17.87,10.54,12.93,19.18,25.20,16.76
