,CECILIA ''CES'' ROSALES,GEORGE BEIER,KRISS WORTHINGTON,writeIns
first_choice,15.11,34.37,49.67,0.86
CECILIA ''CES'' ROSALES,,49.59,52.74,47.37
GEORGE BEIER,43.06,,46.28,10.53
KRISS WORTHINGTON,55.52,49.75,,42.11
writeIns,1.42,0.65,0.99,
