,Anthony Faber,Gerardo Sandoval,Phil Ting,Ronald Chun
first_choice,0.01,36.06,47.21,16.71
Anthony Faber,,0.00,0.00,0.02
Gerardo Sandoval,22.22,,29.01,22.23
Phil Ting,11.11,47.18,,48.00
Ronald Chun,44.44,19.54,35.78,
exhaust,22.22,33.28,35.20,29.74
