,AK Hassan,Abdi Gurhan Mohamed,Charles Exner,writeIns
first_choice,7094.00,5415.00,2069.00,52.00
AK Hassan,,1801.00,654.00,3.00
Abdi Gurhan Mohamed,2710.00,,420.00,2.00
Charles Exner,933.00,555.00,,4.00
writeIns,25.00,23.00,45.00,
exhaust,3426.00,3036.00,950.00,43.00
