,BEVERLY WILLIAMS,LARRY E. REID,SHERYL WALTON,writeIns
first_choice,9.95,57.92,31.42,0.71
BEVERLY WILLIAMS,,31.94,52.38,33.33
LARRY E. REID,33.52,,46.41,33.33
SHERYL WALTON,65.23,66.48,,33.33
writeIns,1.25,1.58,1.21,
