,Andrea Fahrenkrug,Bill Shroyer,Steffanie Musich,writeIns
first_choice,16.57,24.57,58.30,0.56
Andrea Fahrenkrug,,30.58,29.30,2.20
Bill Shroyer,23.30,,24.33,4.40
Steffanie Musich,51.54,33.46,,7.69
writeIns,0.37,0.63,0.58,
exhaust,24.79,35.34,45.78,85.71
