,Betsy Hodges,Joseph Henry,Kris Broberg,writeIns
first_choice,69.24,4.28,26.38,0.10
Betsy Hodges,,66.14,41.39,0.00
Joseph Henry,67.00,,54.53,66.67
Kris Broberg,32.06,32.80,,33.33
writeIns,0.94,1.06,4.08,
