,Eric John Holmes,Greg Scargall,JoAnne Vigil Coppler
first_choice,1305.00,1473.00,2121.00
Eric John Holmes,,523.00,786.00
Greg Scargall,505.00,,881.00
JoAnne Vigil Coppler,444.00,670.00,
exhaust,356.00,280.00,454.00
