,Andrea Fahrenkrug,Bill Shroyer,Steffanie Musich,writeIns
first_choice,16.57,24.57,58.30,0.56
Andrea Fahrenkrug,,47.29,54.05,15.38
Bill Shroyer,30.98,,44.88,30.77
Steffanie Musich,68.53,51.74,,53.85
writeIns,0.49,0.97,1.07,
