,Amy Klobuchar,Andrew Yang,Bernie Sanders,Deval Patrick,Elizabeth Warren,Joseph R. Biden,Michael R.,Pete Buttigieg,Tom Steyer,Tulsi Gabbard,Uncommitted
first_choice,0.29,0.76,32.97,0.03,4.66,53.98,0.97,0.77,0.09,4.57,0.91
Amy Klobuchar,,3.90,0.49,14.29,7.57,3.78,4.55,15.19,5.26,1.50,0.00
Andrew Yang,6.78,,2.95,14.29,2.10,0.93,5.05,6.96,0.00,4.73,0.54
Bernie Sanders,1.69,25.97,,14.29,43.64,24.37,11.62,10.13,26.32,28.36,5.41
Deval Patrick,1.69,0.00,0.03,,0.11,0.09,0.00,0.63,0.00,0.32,0.00
Elizabeth Warren,30.51,13.64,21.67,14.29,,9.54,5.05,13.92,15.79,5.16,2.16
Joseph R. Biden,22.03,17.53,29.70,28.57,32.60,,39.39,32.91,26.32,18.05,6.49
Michael R.,1.69,1.30,0.59,0.00,1.37,3.81,,5.06,15.79,4.19,1.08
Pete Buttigieg,18.64,9.09,1.32,14.29,5.15,4.22,8.59,,0.00,1.93,0.00
Tom Steyer,0.00,0.65,0.39,0.00,0.84,0.38,1.52,0.63,,0.54,0.00
Tulsi Gabbard,8.47,14.94,12.03,0.00,1.58,2.87,6.06,4.43,0.00,,1.08
Uncommitted,0.00,3.25,1.70,0.00,0.74,1.20,1.01,0.63,5.26,3.22,
exhaust,8.47,9.74,29.12,0.00,4.31,48.82,17.17,9.49,5.26,32.01,83.24
