,CORINA LOPEZ,LEAH HALL,MIA OUSLEY
first_choice,53.84,23.74,22.42
CORINA LOPEZ,,32.30,43.29
LEAH HALL,29.29,,32.72
MIA OUSLEY,38.87,39.36,
exhaust,31.84,28.34,24.00
