,Brad Bourn,Geneva Hanvik,Meg Forney,Steven Jecha,writeIns
first_choice,48.16,3.32,36.39,11.71,0.43
Brad Bourn,,27.16,46.76,31.64,66.67
Geneva Hanvik,5.51,,25.06,10.49,0.00
Meg Forney,67.94,50.00,,57.21,0.00
Steven Jecha,26.05,22.22,27.52,,33.33
writeIns,0.50,0.62,0.67,0.66,
