,GORDON WOZNIAK,JACQUELYN McCORMICK,STEWART JONES,writeIns
first_choice,2806.00,881.00,889.00,25.00
GORDON WOZNIAK,,295.00,324.00,7.00
JACQUELYN McCORMICK,858.00,,437.00,2.00
STEWART JONES,1009.00,460.00,,1.00
writeIns,17.00,4.00,8.00,
exhaust,922.00,122.00,120.00,15.00
