,Bob Fine,Brad Bourn,Jennifer Zielinski,"Robert M Schlosser ""Bob""",writeIns
first_choice,7491.00,8084.00,2273.00,584.00,56.00
Bob Fine,,2972.00,627.00,146.00,4.00
Brad Bourn,1922.00,,396.00,108.00,4.00
Jennifer Zielinski,1426.00,988.00,,140.00,1.00
"Robert M Schlosser ""Bob""",545.00,311.00,354.00,,2.00
writeIns,39.00,70.00,14.00,4.00,
exhaust,3559.00,3743.00,882.00,186.00,45.00
