,DAN DILLMAN,MORGAN MACK-ROSE,URSULA REED,writeIns
first_choice,4823.00,9666.00,10734.00,213.00
DAN DILLMAN,,2264.00,1784.00,11.00
MORGAN MACK-ROSE,2171.00,,6048.00,22.00
URSULA REED,1307.00,5291.00,,10.00
writeIns,39.00,42.00,54.00,
exhaust,1306.00,2069.00,2848.00,170.00
