,ADAM KIM,ARTHUR TOM,GORDON MAR,JESSICA HO,LOU ANN BASSAN,MIKE MURPHY,TREVOR MCNEIL,TUAN NGUYEN
first_choice,515.00,2441.00,10314.00,7444.00,2183.00,1182.00,3490.00,853.00
ADAM KIM,,77.00,286.00,423.00,47.00,139.00,87.00,45.00
ARTHUR TOM,72.00,,899.00,1065.00,354.00,98.00,290.00,89.00
GORDON MAR,74.00,466.00,,1841.00,228.00,186.00,930.00,169.00
JESSICA HO,112.00,464.00,2284.00,,367.00,89.00,700.00,142.00
LOU ANN BASSAN,37.00,476.00,391.00,508.00,,157.00,297.00,55.00
MIKE MURPHY,51.00,127.00,1158.00,222.00,252.00,,578.00,54.00
TREVOR MCNEIL,57.00,352.00,1746.00,1204.00,302.00,264.00,,129.00
TUAN NGUYEN,45.00,115.00,444.00,436.00,87.00,39.00,117.00,
exhaust,67.00,364.00,3106.00,1745.00,546.00,210.00,491.00,170.00
