,CAROL LEE TOLBERT,IGNACIO DE LA FUENTE,MICK STORM,REBECCA KAPLAN,THERESA ANDERSON,writeIns
first_choice,15.64,29.53,3.16,45.00,6.09,0.57
CAROL LEE TOLBERT,,21.10,25.14,25.63,27.09,6.09
IGNACIO DE LA FUENTE,19.16,,13.66,25.93,8.77,6.09
MICK STORM,10.07,6.60,,5.74,12.81,2.31
REBECCA KAPLAN,30.02,30.42,20.39,,30.34,10.60
THERESA ANDERSON,18.98,7.88,22.99,9.89,,2.31
writeIns,0.45,0.80,0.57,0.57,0.35,
exhaust,21.32,33.20,17.25,32.24,20.65,72.59
