,Brad Bourn,Geneva Hanvik,Meg Forney,Steven Jecha,writeIns
first_choice,48.16,3.32,36.39,11.71,0.43
Brad Bourn,,15.88,20.62,19.73,5.56
Geneva Hanvik,2.76,,11.05,6.54,0.00
Meg Forney,34.03,29.24,,35.69,0.00
Steven Jecha,13.05,13.00,12.14,,2.78
writeIns,0.25,0.36,0.30,0.41,
exhaust,49.91,41.52,55.89,37.63,91.67
