,ABEL GUILLEN,ANDREW PARK,DANA KING,KEN MAXEY,KEVIN BLACKBURN
first_choice,4886.00,2600.00,4459.00,311.00,1299.00
ABEL GUILLEN,,883.00,1189.00,67.00,315.00
ANDREW PARK,1446.00,,916.00,53.00,291.00
DANA KING,1341.00,610.00,,73.00,408.00
KEN MAXEY,126.00,112.00,205.00,,79.00
KEVIN BLACKBURN,749.00,424.00,890.00,55.00,
exhaust,1224.00,571.00,1259.00,63.00,206.00
