,AMY LEMLEY,CRAIG BRANDT,DAN KALB,DONALD MACLEAY,GORDON ''DON'' LINK,LEN RAPHAEL,RICHARD RAYA,writeIns
first_choice,25.31,4.84,28.82,6.48,7.51,6.65,20.02,0.37
AMY LEMLEY,,18.18,32.76,10.71,17.80,15.38,36.34,3.74
CRAIG BRANDT,6.37,,3.10,37.03,13.71,13.60,4.36,0.00
DAN KALB,34.21,10.17,,19.97,14.31,15.43,24.37,0.00
DONALD MACLEAY,3.12,5.41,5.28,,6.27,7.72,3.31,3.74
GORDON ''DON'' LINK,6.40,16.59,5.73,6.03,,11.60,7.34,0.00
LEN RAPHAEL,5.75,18.61,4.98,5.11,8.78,,6.90,1.87
RICHARD RAYA,20.62,14.43,19.25,8.83,19.80,18.74,,0.00
writeIns,0.30,0.14,0.36,0.38,0.51,0.68,0.19,
exhaust,23.24,16.45,28.54,11.95,18.82,16.85,17.19,90.65
