,Ahimsa Porter Sumchai,Gavin Newsom,George Davis,Grasshopper Alec Kaplan,H. Brown,Harold M. Hoogasian,John Rinaldi,Josh Wolf,Lonnie S. Holmes,Michael Powers,Quintin Mecke,Wilma Pang,writeIns
first_choice,3445.00,106395.00,666.00,1465.00,929.00,8515.00,2556.00,1815.00,1830.00,533.00,9173.00,7381.00,27.00
Ahimsa Porter Sumchai,,2906.00,41.00,86.00,63.00,320.00,203.00,213.00,187.00,21.00,3992.00,566.00,5.00
Gavin Newsom,484.00,,86.00,176.00,113.00,1606.00,463.00,243.00,325.00,77.00,1193.00,2370.00,7.00
George Davis,26.00,1008.00,,72.00,39.00,132.00,46.00,64.00,30.00,24.00,65.00,140.00,0.00
Grasshopper Alec Kaplan,106.00,2033.00,64.00,,22.00,293.00,289.00,128.00,46.00,67.00,182.00,110.00,0.00
H. Brown,69.00,1117.00,52.00,39.00,,261.00,31.00,90.00,44.00,7.00,94.00,245.00,0.00
Harold M. Hoogasian,141.00,7307.00,32.00,147.00,127.00,,134.00,95.00,154.00,51.00,280.00,451.00,2.00
John Rinaldi,208.00,2096.00,42.00,242.00,23.00,227.00,,161.00,34.00,49.00,930.00,82.00,0.00
Josh Wolf,294.00,1966.00,44.00,106.00,72.00,257.00,256.00,,82.00,32.00,554.00,224.00,1.00
Lonnie S. Holmes,282.00,2538.00,25.00,37.00,61.00,318.00,42.00,95.00,,23.00,322.00,318.00,0.00
Michael Powers,27.00,1083.00,45.00,114.00,26.00,180.00,86.00,38.00,24.00,,63.00,73.00,1.00
Quintin Mecke,847.00,4231.00,36.00,76.00,60.00,366.00,563.00,255.00,236.00,25.00,,164.00,2.00
Wilma Pang,341.00,11568.00,50.00,79.00,114.00,638.00,69.00,113.00,181.00,39.00,279.00,,0.00
writeIns,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,
exhaust,620.00,68542.00,149.00,291.00,209.00,3917.00,374.00,319.00,487.00,118.00,1218.00,2637.00,9.00
