,Bob Fine,Brad Bourn,Jennifer Zielinski,"Robert M Schlosser ""Bob""",writeIns
first_choice,40.52,43.73,12.29,3.16,0.30
Bob Fine,,36.76,27.58,25.00,7.14
Brad Bourn,25.66,,17.42,18.49,7.14
Jennifer Zielinski,19.04,12.22,,23.97,1.79
"Robert M Schlosser ""Bob""",7.28,3.85,15.57,,3.57
writeIns,0.52,0.87,0.62,0.68,
exhaust,47.51,46.30,38.80,31.85,80.36
