,BILL HEMENGER,RAFAEL MANDELMAN,REBECCA PROZAN,SCOTT WIENER,writeIns
first_choice,5.16,35.57,16.80,42.38,0.09
BILL HEMENGER,,4.29,7.12,11.74,0.00
RAFAEL MANDELMAN,18.38,,40.00,26.46,25.00
REBECCA PROZAN,29.49,62.37,,61.69,25.00
SCOTT WIENER,51.62,32.93,52.82,,50.00
writeIns,0.51,0.42,0.06,0.11,
