,Eric John Holmes,Greg Scargall,JoAnne Vigil Coppler
first_choice,26.64,30.07,43.29
Eric John Holmes,,35.51,37.06
Greg Scargall,38.70,,41.54
JoAnne Vigil Coppler,34.02,45.49,
exhaust,27.28,19.01,21.40
