,FRED DODSWORTH,ISABELLE GASTON,SUSAN WENGRAF
first_choice,2175.00,929.00,4358.00
FRED DODSWORTH,,364.00,1414.00
ISABELLE GASTON,854.00,,928.00
SUSAN WENGRAF,805.00,354.00,
exhaust,516.00,211.00,2016.00
