,ED DONALDSON,MALIA COHEN,MARLENE TRAN,SHAWN M. RICHARD,TONY KELLY
first_choice,809.00,7176.00,2725.00,995.00,3701.00
ED DONALDSON,,536.00,122.00,231.00,785.00
MALIA COHEN,161.00,,1010.00,301.00,1104.00
MARLENE TRAN,62.00,1457.00,,107.00,445.00
SHAWN M. RICHARD,160.00,866.00,174.00,,314.00
TONY KELLY,209.00,1502.00,540.00,148.00,
exhaust,217.00,2815.00,879.00,208.00,1053.00
