,DEAN CLARK,DEBRA WALKER,ELAINE ZAMORA,FORTUNATE ''NATE'' PAYNE,GEORGE DAVIS,GEORGE VAZHAPPALLY,GLENDON ''ANNA CONDA'' HYDE,H. BROWN,JAMES KEYS,JANE KIM,JIM MEKO,MATT ASHE,MATT DRAKE,THERESA SPARKS,writeIns
first_choice,2.85,26.89,3.02,0.71,0.75,1.15,3.28,0.86,4.55,31.40,1.93,0.88,4.49,17.10,0.14
DEAN CLARK,,3.71,5.49,8.26,8.87,7.46,3.24,19.31,4.01,4.43,2.13,3.82,10.04,2.82,0.00
DEBRA WALKER,26.23,,17.30,15.70,20.97,5.47,32.37,11.03,27.94,32.14,20.67,15.29,7.50,22.98,20.00
ELAINE ZAMORA,3.84,4.31,,2.48,7.26,7.46,3.41,8.97,3.21,8.32,3.95,5.10,9.24,6.08,0.00
FORTUNATE ''NATE'' PAYNE,2.99,0.76,1.48,,3.23,28.36,4.60,2.07,1.20,0.87,3.95,1.27,6.02,1.47,0.00
GEORGE DAVIS,1.49,1.09,3.59,1.65,,2.49,3.07,3.45,1.60,1.11,3.34,8.28,2.54,1.27,0.00
GEORGE VAZHAPPALLY,5.97,0.55,1.90,15.70,6.45,,0.85,4.14,1.20,1.22,5.17,1.91,5.76,1.35,0.00
GLENDON ''ANNA CONDA'' HYDE,2.77,6.80,4.85,13.22,10.48,1.99,,4.14,5.75,10.00,4.86,9.55,2.28,6.60,20.00
H. BROWN,8.32,1.55,2.53,3.31,8.87,2.99,2.90,,1.34,3.17,0.91,2.55,0.67,1.87,0.00
JAMES KEYS,10.23,7.28,7.59,4.96,6.45,1.99,7.50,8.28,,6.48,11.55,2.55,1.74,5.25,0.00
JANE KIM,18.34,49.64,22.57,9.92,8.87,9.95,21.47,15.17,32.35,,20.97,17.20,20.62,30.62,40.00
JIM MEKO,1.92,3.90,4.01,10.74,3.23,11.44,3.75,6.90,5.21,3.41,,6.37,12.18,5.73,0.00
MATT ASHE,1.49,1.00,1.69,1.65,2.42,1.49,1.87,3.45,0.40,1.14,3.04,,2.68,1.35,20.00
MATT DRAKE,7.25,1.21,10.13,6.61,5.65,12.44,2.04,4.83,1.74,5.46,7.60,14.65,,12.45,0.00
THERESA SPARKS,8.96,17.86,16.67,4.96,7.26,6.47,12.61,7.59,13.90,22.07,11.55,10.83,18.61,,0.00
writeIns,0.21,0.33,0.21,0.83,0.00,0.00,0.34,0.69,0.13,0.17,0.30,0.64,0.13,0.16,
