,BEN GOULD,GREGORY MAGOFNA,KATE HARRISON
first_choice,34.97,12.19,52.84
BEN GOULD,,69.26,69.18
GREGORY MAGOFNA,47.60,,30.82
KATE HARRISON,52.40,30.74,
