,Bob Kiss,Hinda Miller,Kevin Curley,Louie the Cowman Beaudin,Loyal Ploof,writeIns
first_choice,3809.00,3106.00,2609.00,119.00,57.00,78.00
Bob Kiss,,1693.00,675.00,28.00,18.00,29.00
Hinda Miller,2111.00,,719.00,18.00,16.00,12.00
Kevin Curley,708.00,659.00,,30.00,9.00,19.00
Louie the Cowman Beaudin,197.00,109.00,286.00,,9.00,7.00
Loyal Ploof,252.00,88.00,103.00,9.00,,3.00
writeIns,86.00,19.00,57.00,2.00,0.00,
exhaust,455.00,538.00,769.00,32.00,5.00,8.00
