,ANTHONY JENKINS,CRISTY WELSH,DAVID LAURET,G. TYCE FLAKE,HECTOR RAFAEL HERNANDEZ,KEITH KUDER,TAY GUDMUNDSON
first_choice,93.00,346.00,154.00,273.00,88.00,99.00,35.00
ANTHONY JENKINS,,70.00,10.00,34.00,14.00,7.00,8.00
CRISTY WELSH,43.00,,46.00,96.00,27.00,21.00,14.00
DAVID LAURET,2.00,58.00,,95.00,12.00,19.00,2.00
G. TYCE FLAKE,32.00,117.00,49.00,,9.00,24.00,5.00
HECTOR RAFAEL HERNANDEZ,2.00,25.00,6.00,11.00,,7.00,2.00
KEITH KUDER,4.00,19.00,31.00,19.00,16.00,,2.00
TAY GUDMUNDSON,8.00,29.00,8.00,7.00,6.00,6.00,
exhaust,2.00,28.00,4.00,11.00,4.00,15.00,2.00
