,Bob Reuer,Linea Palmisano,writeIns
first_choice,1836.00,9411.00,68.00
Bob Reuer,,2164.00,8.00
Linea Palmisano,537.00,,16.00
writeIns,89.00,150.00,
exhaust,1210.00,7097.00,44.00
