,DAVID CAMPOS,ERIC QUEZADA,ERIC STOREY,EVA ROYALE,MARK SANCHEZ,TOM VALTIN,VERN MATHEWS,writeIns
first_choice,9468.00,5352.00,806.00,1842.00,7648.00,862.00,469.00,39.00
DAVID CAMPOS,,1896.00,105.00,349.00,3064.00,230.00,43.00,4.00
ERIC QUEZADA,3598.00,,64.00,269.00,2290.00,108.00,27.00,3.00
ERIC STOREY,178.00,79.00,,134.00,173.00,92.00,120.00,0.00
EVA ROYALE,629.00,390.00,121.00,,581.00,104.00,69.00,0.00
MARK SANCHEZ,3263.00,1886.00,92.00,472.00,,142.00,80.00,0.00
TOM VALTIN,376.00,150.00,120.00,126.00,368.00,,54.00,0.00
VERN MATHEWS,109.00,46.00,95.00,137.00,90.00,59.00,,1.00
writeIns,6.00,7.00,2.00,0.00,2.00,0.00,0.00,
exhaust,1309.00,898.00,207.00,355.00,1080.00,127.00,76.00,31.00
