,Eric John Holmes,Greg Scargall,JoAnne Vigil Coppler
first_choice,26.64,30.07,43.29
Eric John Holmes,,43.84,47.15
Greg Scargall,53.21,,52.85
JoAnne Vigil Coppler,46.79,56.16,
