,CHRISTINE JOHNSON,MATT HANEY,SONJA TRAUSS
first_choice,6267.00,14288.00,4775.00
CHRISTINE JOHNSON,,4558.00,2804.00
MATT HANEY,2169.00,,1239.00
SONJA TRAUSS,2960.00,3958.00,
exhaust,1138.00,5772.00,732.00
