,BOB REUER,DAVID REGAN,LINEA PALMISANO,MATT PERRY,MISSY DURANT,writeIns
first_choice,7.16,1.90,42.57,38.85,9.43,0.10
BOB REUER,,71.43,2.12,7.19,3.73,16.67
DAVID REGAN,48.95,,0.86,2.85,1.36,16.67
LINEA PALMISANO,13.50,10.71,,62.70,52.66,50.00
MATT PERRY,30.80,13.10,63.62,,42.26,0.00
MISSY DURANT,5.49,4.17,33.16,26.88,,16.67
writeIns,1.27,0.60,0.24,0.39,0.00,
