,CAROL LIBBRECHT,"DAVID L. ANDERSON, SR.",MICHAEL J. GREGORY,writeIns
first_choice,120.00,6742.00,13030.00,152.00
CAROL LIBBRECHT,,15.00,9.00,0.00
"DAVID L. ANDERSON, SR.",54.00,,7496.00,26.00
MICHAEL J. GREGORY,31.00,3575.00,,23.00
writeIns,0.00,222.00,174.00,
exhaust,35.00,2930.00,5351.00,103.00
